id	name	fips	sector
1	Alabama A & M University	1	1
2	University of Alabama at Birmingham	1	1
3	Amridge University	1	2
4	University of Alabama in Huntsville	1	1
5	Alabama State University	1	1
6	The University of Alabama	1	1
7	Central Alabama Community College	1	4
8	Athens State University	1	1
9	Auburn University at Montgomery	1	1
10	Auburn University	1	1
11	Birmingham Southern College	1	2
12	Chattahoochee Valley Community College	1	4
13	Concordia College Alabama	1	2
14	South University-Montgomery	1	3
15	Enterprise State Community College	1	4
16	James H Faulkner State Community College	1	4
17	Faulkner University	1	2
18	Gadsden State Community College	1	4
19	George C Wallace State Community College-Dothan	1	4
20	George C Wallace State Community College-Hanceville	1	4
21	George C Wallace State Community College-Selma	1	4
22	Herzing University-Birmingham	1	3
23	Huntingdon College	1	2
24	Heritage Christian University	1	2
25	J F Drake State Community and Technical College	1	4
26	J F Ingram State Technical College	1	4
27	Jacksonville State University	1	1
28	Jefferson Davis Community College	1	4
29	Jefferson State Community College	1	4
30	John C Calhoun State Community College	1	4
31	Judson College	1	2
32	Lawson State Community College-Birmingham Campus	1	4
33	University of West Alabama	1	1
34	Lurleen B Wallace Community College	1	4
35	Marion Military Institute	1	4
36	Miles College	1	2
37	University of Mobile	1	2
38	University of Montevallo	1	1
39	Northwest-Shoals Community College	1	4
40	University of North Alabama	1	1
41	Northeast Alabama Community College	1	4
42	Oakwood University	1	2
43	Alabama Southern Community College	1	4
44	Prince Institute-Southeast	17	6
45	Reid State Technical College	1	4
46	Bishop State Community College	1	4
47	Samford University	1	2
48	Selma University	1	2
49	Shelton State Community College	1	4
50	Snead State Community College	1	4
51	University of South Alabama	1	1
52	Spring Hill College	1	2
53	Southeastern Bible College	1	2
54	Stillman College	1	2
55	Talladega College	1	2
56	H Councill Trenholm State Community College	1	4
57	Troy University	1	1
58	Tuskegee University	1	2
59	United States Sports Academy	1	2
60	Bevill State Community College	1	4
61	University of Alaska Anchorage	2	1
62	Alaska Bible College	2	2
63	University of Alaska Fairbanks	2	1
64	University of Alaska Southeast	2	1
65	Alaska Pacific University	2	2
66	Charter College-Anchorage	2	3
67	Alaska Career College	2	6
68	Everest College-Phoenix	4	3
69	Collins College	4	3
70	Thunderbird School of Global Management	4	1
71	American Indian College Inc	4	2
72	Carrington College-Phoenix	4	6
73	Carrington College-Mesa	4	6
74	Carrington College-Tucson	4	6
75	CollegeAmerica-Flagstaff	4	2
76	Brookline College-Phoenix	4	3
77	Arizona State University-Tempe	4	1
78	Arizona Western College	4	4
79	University of Arizona	4	1
80	Southwest University of Visual Arts-Tucson	4	3
81	Central Arizona College	4	4
82	Brown Mackie College-Tucson	4	3
83	Cochise County Community College District	4	4
84	Eastern Arizona College	4	4
85	Embry-Riddle Aeronautical University-Prescott	4	2
86	Frank Lloyd Wright School of Architecture	4	2
87	Glendale Community College	4	4
88	Grand Canyon University	4	3
89	GateWay Community College	4	4
90	Mesa Community College	4	4
91	ITT Technical Institute-Tucson	4	3
92	ITT Technical Institute-Tempe	4	3
93	Mohave Community College	4	4
94	Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division	4	6
95	Dine College	4	1
96	Northern Arizona University	4	1
97	Northland Pioneer College	4	4
98	Ottawa University-Phoenix	4	2
99	Phoenix College	4	4
100	Pima Community College	4	4
101	Pima Medical Institute-Tucson	4	3
102	Pima Medical Institute-Albuquerque	35	6
103	Prescott College	4	2
104	Refrigeration School Inc	4	6
105	Rio Salado College	4	4
106	Scottsdale Community College	4	4
107	South Mountain Community College	4	4
108	Arizona Christian University	4	2
109	Universal Technical Institute of Arizona Inc	4	6
110	Western International University	4	3
111	Yavapai College	4	4
112	University of Arkansas at Little Rock	5	1
113	University of Arkansas for Medical Sciences	5	1
114	Arkansas Baptist College	5	2
115	Lyon College	5	2
116	University of Arkansas	5	1
117	University of Arkansas at Pine Bluff	5	1
118	Arkansas State University-Beebe	5	4
